date,slot,submission,champion,probe_spec,macro,S2,D2,S3,D3,champion_flag,git_sha,note
2026-08-22,1,baseline.submission.csv,,"(cat,unit) medians on the STALE fixture",0.364,0.337,0.311,0.410,0.396,0,90ea072,first ever scored submission; zero vision
2026-08-22,2,baseline-shrink90.submission.csv,,built but never submitted,,,,,,0,90ea072,unused
2026-08-22,3,baseline-v2.submission.csv,baseline.submission.csv,unit-only grouping + clean fixture,0.359,0.309,0.308,0.428,0.392,0,90ea072,"REFUTED: LOO said +0.007, test said -0.005"
2026-08-23,1,baseline-v3.submission.csv,baseline.submission.csv,"(cat,unit) medians + clean fixture: D2|meters 1.71->1.25",0.365,0.337,0.315,0.410,0.396,0,90ea072,CHAMPION. Differs from v1 only on D2|meters (829 rows). S2/S3/D3 identical to v1 => determinism proven free
2026-08-23,2,probe-d1a.submission.csv,baseline-v3.submission.csv,x0.5 on S2|meters D2|meters S3|cm D3|meters,,,,,,0,-,"SUPERSEDED -- built 2026-08-23 09:50, never submitted. Slots 2 and 3 went to solver-v1 and mix-v1 instead. Built against baseline-v3, which stopped being champion the same day, so 3 of its 4 channels would probe a source we no longer ship. Retired 2026-08-24; rebuild probes against the current champion."
2026-08-23,3,probe-d1b.submission.csv,baseline-v3.submission.csv,x2.0 on S2|meters D2|meters S3|cm D3|meters,,,,,,0,-,"SUPERSEDED -- built 2026-08-23 09:50, never submitted. Slots 2 and 3 went to solver-v1 and mix-v1 instead. Built against baseline-v3, which stopped being champion the same day, so 3 of its 4 channels would probe a source we no longer ship. Retired 2026-08-24; rebuild probes against the current champion."
2026-08-23,2,solver-v1.submission.csv,baseline-v3.submission.csv,geometric solver + prior_pixels gate + local kinematics; 1338/3289 solved (40.7%),0.345,0.353,0.368,0.441,0.220,0,913cfb5,"KEY READING: solver beat the constant in 3 of 4 categories (S2 +.016 D2 +.053 S3 +.031) and collapsed on D3 (-.176). D3 was the category the disagreement check flagged worst (median ratio 3.44, 65% >1.9x)"
2026-08-23,3,mix-v1.submission.csv,solver-v1.submission.csv,"per-category selection: solver on S2/D2/S3, constant on D3",0.389,0.353,0.368,0.441,0.396,1,e17c436,"CHAMPION. Predicted 0.3895 from the two parents, measured 0.389, and ALL FOUR categories matched to the digit. Categories are scored independently: composing measured sources is exact, so a composition never needs a confirming slot again."
2026-08-24,1,mix-v2.submission.csv,mix-v1.submission.csv,"per-ROW selection: solver-v1 on the 1338 rows with method != none, baseline-v3 constant on the other 1951 (S2 247/581, D2 330/1160, S3 441/576, D3 320/972)",0.398,0.393,0.377,0.469,0.351,0,fd118be,"Isolates the solver's worth on rows where it actually fired. mix-v1 fills declined rows from make_submission's fallback, which is the median of the predictions file's OWN solved values -- D2|meters 2.7439 where the validation-derived constant is 1.2500. 4 independent channels; each category is revertible offline for free. READING: won S2 +.040, D2 +.009, S3 +.028; lost D3 -.045. Inverting, the solver beats the constant by +0.132 / +0.218 / +0.077 on the rows it solves in S2/D2/S3 and by -0.137 in D3. The fallback constant was the whole story in D3: solver+own-fallback 0.220, solver+measured-constant 0.351, pure constant 0.396."
2026-08-24,-,mix-v3.submission.csv,mix-v2.submission.csv,"per-category selection: mix-v2 on S2/D2/S3, baseline-v3 constant on D3",0.409,0.393,0.377,0.469,0.396,0,79d289b,"CHAMPION, DERIVED NOT MEASURED -- macro 0.4087 is arithmetic from mix-v2's and baseline-v3's own reported categories, so it costs no slot. Standing rule: never spend a slot confirming a composition of already-measured sources."
2026-08-24,2,probe-d2a.submission.csv,mix-v3.submission.csv,x0.7 on S2|meters D2|meters S3|cm D3|meters,0.402,0.389,0.358,0.477,0.383,0,79d289b,"Day 2 lower bracket, first grid point against the new champion. Inversion factors: S2 2.79, D2 1.40, S3 3.39, D3 2.06. READING: x0.7 loses in S2 -.004, D2 -.019, D3 -.013 and WINS S3 +.008. On the group's own mean score: S2 -0.011, D2 -0.027, S3 +0.027, D3 -0.027."
2026-08-24,3,probe-d2b.submission.csv,mix-v3.submission.csv,x1.4 on S2|meters D2|meters S3|cm D3|meters,0.372,0.368,0.324,0.430,0.366,0,79d289b,"Day 2 upper bracket. Symmetric in log space with d2a, so with the champion's x1.0 every group ends the day with a 3-point bracket around the incumbent and any adoption is monotone by construction. READING: x1.4 loses in all four, and by more than x0.7 loses in any of them (S2 -.025, D2 -.053, S3 -.039, D3 -.030). The response curve is asymmetric in the direction the metric predicts: overshoot is fatal, undershoot is cheap."
2026-08-24,-,mix-v4.submission.csv,mix-v3.submission.csv,"per-category selection: probe-d2a (x0.7 on S3|cm) on S3, mix-v3 elsewhere",0.411,0.393,0.377,0.477,0.396,1,fbdf78c,"CHAMPION, DERIVED NOT MEASURED -- 0.4108 is arithmetic from probe-d2a's and mix-v3's own reported categories, so it costs no slot. Only 170 rows differ from mix-v3, all inside S3. Day 2 ends 0.389 -> 0.411 on three slots."
2026-08-25,2,solver-v2.submission.csv,mix-v4.submission.csv,"TRUSTED_PRIOR_PIXELS band (30,300)->(30,inf); 2585/3289 solved (78.6%)",0.418,0.430,0.461,0.465,0.315,0,d88d656,BACKFILLED 2026-08-26. Gained in ALL FOUR categories (+.077/+.093/+.024/+.095) -- the biggest lever of the campaign. Beats mix-v4 (0.411) as a single source. D3 still loses to the constant (0.315 vs 0.396).
2026-08-25,-,mix-v5.submission.csv,mix-v4.submission.csv,"per-category: solver-v2 on S2/D2, mix-v4 on S3/D3",0.441,0.430,0.461,0.477,0.396,0,d88d656,"BACKFILLED 2026-08-26. Was CHAMPION. Composed offline then uploaded; portal confirms 0.441, matching the arithmetic exactly."
2026-08-26,1,probe-d3a.submission.csv,mix-v5.submission.csv,S2|m/s=0.7 D2|m/s=0.6 S3|cm=0.5 D3|cm=2.5,0.406,0.410,0.438,0.417,0.360,0,d88d656,"REFUTED IN ALL FOUR. Group-mean deltas: S2|m/s -0.059, D2|m/s -0.114, S3|cm -0.203, D3|cm -0.124. Factors came from the solver's median ratio vs the constant, which is therefore NOT a guide to where a constant belongs. With Day 2's x0.7/x1.4 also losing on four other groups, constant-multiplier probing is EXHAUSTED -- stop spending slots on it."
2026-08-26,2,solver-v3.submission.csv,solver-v2.submission.csv,disagreement clip vs constant: S2>20x(69) D2>10x(139) S3>10x(43) D3>5x(269) reverted to constant,0.433,0.431,0.438,0.477,0.386,0,d88d656,"Item 1f, first test on the real set. SPLIT RESULT, and the split is the finding. Per clipped row vs solver-v2: S2 ~0, S3 +0.161, D3 +0.257 (solver was losing), D2 -0.192 (solver was EARNING). So in D2 a 10x disagreement means the CONSTANT is wrong; in D3 it means the solver is. D3 clip curve rises 0.315->0.386 but is bounded above by the pure constant's 0.396, and the retained rows score 0.374 -- so the solver cannot beat a constant in D3 at ANY threshold. D3 is closed to the solver."
2026-08-26,-,mix-v6.submission.csv,mix-v5.submission.csv,"per-category: solver-v3 on S2, mix-v5 on D2/S3/D3",0.441,0.431,0.461,0.477,0.396,1,d88d656,"CHAMPION, DERIVED NOT MEASURED -- 0.44125 is arithmetic. The S2 +0.001 is inside the +/-0.0005 reporting precision, so this is a TIE with mix-v5, not a gain. Today moved the champion by nothing; its value was three refutations that close off whole strategies."
